rank,ticker,company,sector,market_cap,latest_fiscal_year,status
254,STJT,"Shahtaj Textile Limited","Textile Weaving",1373845200,2026,"ok"
255,ELSM,"Ellcot Spinning Mills Limited","Textile Spinning",1368750000,2026,"ok"
256,POML,"Punjab Oil Mills Limited","Vanaspati & Allied Industries",1318227750,2026,"basis 2025 FY"
257,GEMBCEM,"Burj Clean Energy Modaraba(GEM)","Modarabas",1265000000,2026,"basis 2026 Q3"
258,BPL,"Burshane LPG (Pakistan) Limited","Oil & Gas Marketing Companies",1255780180,2026,"basis 2025 FY"
259,ICIBL,"Invest Capital Investment Bank Limited","Inv. Banks / Inv. Cos. / Securities Cos.",1253414340,2026,"ok"
260,ITTEFAQ,"Ittefaq Iron Industries Limited","Engineering",1248570100,2026,"ok"
261,AWTX,"Allawasaya Tex. & Finishing Mills Ltd","Textile Spinning",1241640000,2026,"basis 2025 FY"
262,CHBL,"Chenab Limited","Textile Composite",1220150000,2026,"ok"
263,SAIF,"Saif Textile Mills Limited","Textile Spinning",1193863080,2026,"ok"
264,ADAMS,"Adam Sugar Mills Limited","Sugar & Allied Industries",1177517640,2026,"basis 2025 FY"
265,OLPM,"OLP Modaraba","Modarabas",1137765100,2026,"ok"
266,GEMNETS,"Nets International Communication Limited","Technology & Communication",1109344250,2026,"ok"
267,PPP,"Pakistan Paper Products Limited","Paper, Board & Packaging",1093360000,2026,"basis 2025 FY"
268,RUPL,"Rupali Polyester Limited","Synthetic & Rayon",1070091590.0000001,2026,"ok"
269,DADX,"Dadex Eternit Limited","Engineering",1065636000,2026,"basis 2025 FY"
270,MDTL,"Media Times Limited","Technology & Communication",1058797980,2026,"ok"
271,GFIL,"Ghazi Fabrics International Limited","Textile Composite",1032590380,2026,"basis 2025 FY"
272,YOUW,"Yousaf Weaving Mills Limited","Textile Weaving",1006538600,2026,"basis 2025 FY"
273,JDMT,"Janana De Malucho Textile Mills Limited","Textile Spinning",934535030,2026,"basis 2025 FY"
274,INKL,"International Knitwear Limited","Apparel",907998750,2026,"basis 2025 FY"
275,OBOY,"Oilboy Energy Limited","Oil & Gas Marketing Companies",898000000,2026,"ok"
276,BCL,"Bolan Castings Limited","Engineering",896692870,2026,"basis 2025 FY"
277,DSIL,"D.S. Industries Limited","Textile Spinning",854430290,2026,"ok"
278,HRPL,"Habib Rice Product Limited.","Sugar & Allied Industries",850400000,2026,"basis 2025 FY"
279,IDRT,"Idrees Textile Mills Limited","Textile Spinning",847118980,2026,"ok"
280,GOC,"GOC (Pak) Limited.","Miscellaneous",830431350,2026,"basis 2025 FY"
281,ORM,"Orient Rental Mod","Modarabas",805500000,2026,"basis 2025 FY"
282,AHTM,"Ahmad Hassan Textile Mills Limited","Textile Composite",789462350,2026,"ok"
283,SHCM,"Shadman Cotton Mills Limited","Textile Spinning",784837600,2026,"ok"
284,AGSML,"Abdullah Shah Ghazi Sugar Mills Limited","Sugar & Allied Industries",780727750,2026,"basis 2025 FY"
285,FDPL,"First Dawood Properties Limited","Inv. Banks / Inv. Cos. / Securities Cos.",779047620,2026,"basis 2025 FY"
286,SNAI,"Sana Industries Limited","Textile Spinning",778834650,2026,"ok"
287,NEXT,"Next Capital Limited","Inv. Banks / Inv. Cos. / Securities Cos.",746286750,2026,"basis 2025 FY"
288,LPGL,"Leiner Pak Gelatine Limited","Chemical",730950000,2026,"basis 2025 FY"
289,PGLC,"Pak-Gulf Leasing Company Limited","Leasing Companies",722278210,2026,"ok"
290,CFL,"Crescent Fibres Limited","Textile Spinning",718995020,2026,"basis 2025 FY"
291,ARMG,"ARM Green Industries Limited","Inv. Banks / Inv. Cos. / Securities Cos.",686460550,2026,"basis 2025 FY"
292,UDLI,"UDL International Limited","Miscellaneous",668695230,2026,"ok"
293,BNWM,"Bannu Woollen Mills Limited","Woollen",652223810,2026,"basis 2025 FY"
294,IDSM,"Ideal Spinning Mills Limited","Textile Spinning",650752000,2026,"basis 2025 FY"
295,FFLM,"First Fidelity Leasing Modaraba","Modarabas",634723710,2026,"basis 2025 FY"
296,ARPAK,"Arpak International Investments Ltd.","Miscellaneous",618240000,2026,"basis 2025 FY"
297,DMC,"D.M. Corporation Limited.","Textile Spinning",610480000,2026,"ok"
298,OML,"Olympia Mills Limited","Miscellaneous",603720000,2026,"basis 2024 FY"
299,ARCTM,"Arctic Textile Mills Limited","Textile Spinning",583775390,2026,"basis 2025 FY"
300,SERT,"Service Industries Textiles Limited","Textile Spinning",550261800,2026,"ok"
301,SARC,"Sardar Chemical Industries Limited","Chemical",541440000,2026,"ok"
302,DIIL,"Diamond Industries Limited","Miscellaneous",541170000,2026,"ok"
303,SRR,"Signature Residency Reit","Real Estate Investment Trust",535920000,2026,"ok"
304,AKGL,"Al-Khair Gadoon Limited","Miscellaneous",530800000,2026,"basis 2025 FY"
305,STML,"Shams Textile Mills Limited","Textile Composite",518400000,2026,"ok"
306,786,"786 Investments Limited","Inv. Banks / Inv. Cos. / Securities Cos.",513087680,2026,"basis 2025 FY"
307,ANTM,"AN Textile Mills Limited","Textile Composite",495751200,2026,"basis 2025 FY"
308,JATM,"J.A. Textile Mills Limited","Textile Spinning",489556620,2026,"basis 2025 FY"
309,HAEL,"Hala Enterprises Limited","Textile Composite",448502450,2026,"ok"
310,MQTM,"Maqbool Textile Mills Limited","Textile Spinning",431677440,2026,"ok"
311,ASTM,"Asim Textile Mills Limited","Textile Spinning",417671040,2026,"basis 2025 FY"
312,AKDHL,"AKD Hospitality Limited","Miscellaneous",413599750,2026,"ok"
313,ICCI,"ICC Industries Limited","Textile Weaving",410415320,2026,"ok"
